file,sc_ses
neg_1BJ1_cleaned__vhh_3QXW_cleaned_2.pdb,0.4790812730789184
neg_1CZ8_cleaned__vhh_7CX4_cleaned_2.pdb,0.5904130041599274
neg_1CZ8_cleaned__vhh_7JVB_cleaned_1.pdb,0.5927288830280304
neg_1BJ1_cleaned__vhh_5OMN_cleaned_1.pdb,0.5850743353366852
neg_1G6V_cleaned__vhh_6Z2M_cleaned_1.pdb,0.7186236083507538
neg_1G6V_cleaned__vhh_6GKD_0_cleaned_2.pdb,0.782812237739563
neg_1MVF_cleaned__vhh_7B14_cleaned_1.pdb,0.74637770652771
neg_1MEL_cleaned__vhh_3ZLQ_cleaned_2.pdb,0.5963402986526489
neg_1MVF_cleaned__vhh_8ONT_cleaned_2.pdb,0.7716388404369354
neg_1MEL_cleaned__vhh_4C57_cleaned_1.pdb,0.6539115309715271
neg_1MHP_cleaned__vhh_3ZKX_0_cleaned_2.pdb,0.7178003787994385
neg_1MHP_cleaned__vhh_4BFB_0_cleaned_1.pdb,0.7442148923873901
neg_1OP9_cleaned__vhh_3SN6_cleaned_1.pdb,0.7205781936645508
neg_1OP9_cleaned__vhh_6UKT_0_cleaned_2.pdb,0.6770660281181335
neg_1KXV_0_cleaned__vhh_5J1S_cleaned_1.pdb,0.7209047377109528
neg_1RI8_cleaned__vhh_7ZOX_1_cleaned_2.pdb,0.7222839295864105
neg_1RJC_cleaned__vhh_6Z20_cleaned_1.pdb,0.667374849319458
neg_1RI8_cleaned__vhh_9FWW_cleaned_1.pdb,0.6812804341316223
neg_1SQ2_0_cleaned__vhh_3P0G_cleaned_2.pdb,0.7527064681053162
neg_1RJC_cleaned__vhh_8DAM_1_cleaned_2.pdb,0.7290320992469788
neg_1T6V_0_cleaned__vhh_7JVB_cleaned_1.pdb,0.7358660399913788
neg_1T6V_0_cleaned__vhh_7CKY_cleaned_2.pdb,0.7055657505989075
neg_1XFP_cleaned__vhh_1ZVH_cleaned_2.pdb,0.7073527574539185
neg_1KXV_0_cleaned__vhh_8A67_cleaned_2.pdb,0.7318480610847473
neg_1XFP_cleaned__vhh_7KI1_cleaned_1.pdb,0.6906254291534424
neg_1SQ2_0_cleaned__vhh_5O04_1_cleaned_1.pdb,0.7566321492195129
neg_1ZMY_cleaned__vhh_6JB8_cleaned_1.pdb,0.6605702936649323
neg_1ZMY_cleaned__vhh_7SAK_cleaned_2.pdb,0.6857056021690369
neg_1ZV5_cleaned__vhh_7KI1_cleaned_2.pdb,0.7590497732162476
neg_1ZVH_cleaned__vhh_6IBB_1_cleaned_1.pdb,0.710058331489563
neg_1ZVY_cleaned__vhh_5MP2_1_cleaned_2.pdb,0.7120067477226257
